iso3,modelled,aggregated,plotted,issues,status/comments,invalid_surveys,valid_surveys,missing_surveys,survey_comments,survey_source,survey_edition,areas_source,areas_edition,population_source,areas_missing_pop,population_edition
AGO,1,1,,,,,AGO2015DHS,,,ago_survey,2020,ago_data_areas,2020,"Circumcision coverage/raw/population/, Circumcision coverage/raw/Spectrum files/",,
BDI,1,1,,,,,"BDI2010DHS, BDI2016DHS",,,bdi_survey,2020,bdi_data_areas,2020,"Circumcision coverage/raw/population/, Circumcision coverage/raw/Spectrum files/",,
BEN,1,1,,,,,"BEN2012DHS, BEN2014MICS, BEN2017DHS",,,"ben_survey, Data/household surveys/MICS/datasets/archive/mics_rds/",2020,ben_data_areas,2020,"aaa_scale_pop, Circumcision coverage/raw/Spectrum files/",,2020
BFA,1,1,,,,,"BFA2003DHS, BFA2010DHS",,,bfa_survey,2020,bfa_data_areas,2020,"Circumcision coverage/raw/population/, Circumcision coverage/raw/Spectrum files/",,
BWA,,,,"All surveys left censored (Q: ""Have you been circumcised"", not when)",,"BWA2008BAIS, BWA2013BAIS",,"BWA2001AIS, BWA2004AIS, BWA2008AIS, BWA2013AIS",,unknown,,bwa_data_areas,2020,"Circumcision coverage/raw/population/, Circumcision coverage/raw/Spectrum files/",,
CAF,,,,"No surveys, last DHS survey in 1995, did not include circumcision (2006MICS survey may)",,,,CAF2006MICS,,cmr_survey,2020,caf_data_areas,2020,Circumcision coverage/raw/Spectrum files/,,
CIV,1,1,,,,,"CIV2012DHS, CIV2017PHIA",CIV2005AIS,,"civ_survey, civ_survey_phia",2020,civ_data_areas,2020,"Circumcision coverage/raw/population/, Circumcision coverage/raw/Spectrum files/",,
CMR,1,1,,,,,"CMR2004DHS, CMR2011DHS, CMR2017PHIA, CMR2018DHS",,,"cmr_survey, cmr_survey_phia",2020,cmr_data_areas,2020,"Circumcision coverage/raw/population/, Circumcision coverage/raw/Spectrum files/",,
COD,1,,,,Running aggregation on pocatello,,COD2007DHS,,No circumcision type distinction,cod_survey,2020,cod_data_areas,2020,"aaa_scale_pop, Circumcision coverage/raw/Spectrum files/",,2020
COG,1,1,,,,,"COG2005DHS, COG2009AIS, COG2011DHS",COG2014MICS,No circumcision type distinction,cog_survey,2020,cog_data_areas,2020,"aaa_scale_pop, Circumcision coverage/raw/Spectrum files/",,2020
